customer_unique_id,product_id,rank,category
004b45ec5c64187465168251cd1c9c2f,0bcc3eeca39e1064258aa1e932269894,1,garden_tools
004b45ec5c64187465168251cd1c9c2f,422879e10f46682990de24d770e7f83d,2,garden_tools
004b45ec5c64187465168251cd1c9c2f,53759a2ecddad2bb87a079a1f1519f73,3,garden_tools
004b45ec5c64187465168251cd1c9c2f,368c6c730842d78016ad823897a372db,4,garden_tools
004b45ec5c64187465168251cd1c9c2f,389d119b48cf3043d311335e499d9c6b,5,garden_tools
00a39521eb40f7012db50455bf083460,4d69476a7bd01b8eec1c87e60778364c,1,sports_leisure
00a39521eb40f7012db50455bf083460,cec09725da5ed01471d9a505e7389d37,2,sports_leisure
012a218df8995d3ec3bb221828360c86,99a4788cb24856965c36a24e339b6058,1,bed_bath_table
012a218df8995d3ec3bb221828360c86,aca2eb7d00ea1a7b8ebd4e68314663af,2,furniture_decor
012a218df8995d3ec3bb221828360c86,422879e10f46682990de24d770e7f83d,3,garden_tools
012a218df8995d3ec3bb221828360c86,53b36df67ebb7c41585e8d54d6772e08,4,watches_gifts
012a218df8995d3ec3bb221828360c86,389d119b48cf3043d311335e499d9c6b,5,garden_tools
012a218df8995d3ec3bb221828360c86,d1c427060a0f73f6b889a5c7c61f2ac4,6,computers_accessories
012a218df8995d3ec3bb221828360c86,368c6c730842d78016ad823897a372db,7,garden_tools
012a218df8995d3ec3bb221828360c86,53759a2ecddad2bb87a079a1f1519f73,8,garden_tools
012a218df8995d3ec3bb221828360c86,154e7e31ebfa092203795c972e5804a6,9,health_beauty
012a218df8995d3ec3bb221828360c86,2b4609f8948be18874494203496bc318,10,health_beauty
0178b244a5c281fb2ade54038dd4b161,35afc973633aaeb6b877ff57b2793310,1,home_confort
0178b244a5c281fb2ade54038dd4b161,f2e53dd1670f3c376518263b3f71424d,2,bed_bath_table
0178b244a5c281fb2ade54038dd4b161,eebbed5ed3b134eceb717496c47652ba,3,bed_bath_table
0178b244a5c281fb2ade54038dd4b161,3e5201fe0d1ba474d9b90152c83c706c,4,bed_bath_table
0178b244a5c281fb2ade54038dd4b161,7aef20f12c90de905bf7782cb29dffb3,5,furniture_decor
0178b244a5c281fb2ade54038dd4b161,0a23fd10720c5ffc6c7f5e66b0b26ae2,6,furniture_decor
